director_actor,movie_count
Wong Kar Wai/Wang Qingxiang,1
Wong Kar Wai/Zhang Jin,1
Wong Kar Wai/Lo Hoi-pang,1
Wong Kar Wai/Cung Le,1
Wong Kar Wai/Julian Cheung,1
Rob Cohen/Toby Kebbell,1
Rob Cohen/Maggie Grace,1
Rob Cohen/Ryan Kwanten,1
Rob Cohen/Ralph Ineson,1
Rob Cohen/Melissa Bolona,1
Rob Cohen/Ben Cross,1
Rob Cohen/Jamie Andrew Cutler,1
Louis J. Horvitz/Dave Chappelle,1
Louis J. Horvitz/Steve Harvey,1
Louis J. Horvitz/Cedric the Entertainer,1
Louis J. Horvitz/Martin Lawrence,1
Louis J. Horvitz/Tiffany Haddish,1
Louis J. Horvitz/Katt Williams,1
Louis J. Horvitz/Craig Robinson,1
Louis J. Horvitz/D.L. Hughley,1
Louis J. Horvitz/Eddie Griffin,1
Louis J. Horvitz/J.B. Smoove,1
Louis J. Horvitz/Joe Torry,1
Louis J. Horvitz/Kid Capri,1
Louis J. Horvitz/Mike Epps,1
Louis J. Horvitz/Sheryl Underwood,1
Louis J. Horvitz/Tracy Morgan,1
Louis J. Horvitz/Deon Cole,1
Linda Saffire/Peter Martins,1
Linda Saffire/Sean Suozzi,1
Linda Saffire/Gretchen Smith,1
Linda Saffire/Ashley Laracey,1
Linda Saffire/Tiler Peck,1
Linda Saffire/Damian Woetzel,1
Linda Saffire/Albert Evans,1
Linda Saffire/Sterling Hyltin,1
